size_bytes,metric,old_count,candidate_count,old_median,candidate_median,old_p95,candidate_p95,old_trimmed_mean,candidate_trimmed_mean,candidate_improvement_percent,bootstrap_ci95_low,bootstrap_ci95_high,candidate_wins,old_wins,ties
1024,total_ms,30,30,149.5825,154.184,222.00459999999993,214.27579999999998,150.93516666666667,152.73033333333333,-1.1893627617155664,-9.77923000690818,5.162344543295315,14,13,3
1024,ttfb_ms,30,30,149.337,154.123,221.74354999999994,214.16279999999995,150.53433333333334,152.62016666666668,-1.385619670374205,-9.913712482152626,5.032564964543688,14,14,2
1024,speed_bps,30,30,6845.5,6641.0,7223.75,7388.95,6794.444444444444,6720.833333333333,-1.0834014717906817,-7.857350368815633,4.841403975066208,14,13,3
65536,total_ms,30,30,282.5935,283.50350000000003,437.2741999999999,400.11620000000005,293.25272222222225,284.94044444444444,2.8345100140209087,-7.586720371495631,12.210376742049592,13,14,3
65536,ttfb_ms,30,30,152.0165,154.0325,201.38574999999997,200.54275,153.94455555555555,155.30055555555555,-0.8808366071190097,-7.874768688159906,6.189376852490306,13,17,0
65536,speed_bps,30,30,231911.0,231164.5,247957.65,249343.34999999998,225481.38888888888,230320.11111111112,2.1459519324704175,-6.15634025916666,11.63957272263292,13,14,3
1048576,total_ms,30,30,500.885,498.58950000000004,731.89195,737.53045,505.04122222222225,509.2496666666667,-0.8332873158208692,-10.04578599654483,7.206472557842574,17,11,2
1048576,ttfb_ms,30,30,158.8705,151.051,221.17665,223.0969,157.5035,154.50922222222223,1.9010865014287097,-9.31617747920983,10.326941472063256,16,11,3
1048576,speed_bps,30,30,2093446.5,2103219.5,2272080.95,2257941.7,2078833.5,2065836.388888889,-0.6252117406762498,-7.722052430681512,6.517555859192649,17,11,2
8388608,total_ms,30,30,791.64,805.9369999999999,1421.7038499999994,1099.3371499999996,810.0581666666667,804.5460555555555,0.6804586803677456,-9.902844711469076,11.734919536151823,12,17,1
8388608,ttfb_ms,30,30,152.072,149.9985,212.84425,221.93809999999996,151.66400000000002,152.114,-0.29670851355627476,-9.530697932226806,6.134649827548801,13,15,2
8388608,speed_bps,30,30,10597799.0,10409325.0,12071619.05,11894474.55,10420214.666666666,10481851.666666666,0.5915137256929193,-8.671776623672251,12.125466049049118,12,17,1
