timestamp_utc,build,sequence,warmup,size_bytes,url,curl_exit_code,success,http_code,remote_ip,local_ip,local_port,time_namelookup_ms,time_connect_ms,time_starttransfer_ms,time_total_ms,wall_clock_ms,size_download,speed_download_bps,num_connects,http_version,error
2026-07-29T10:15:50.217566+00:00,candidate,1,True,1024,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/1024?run=98897e28b4824857a6755767c6bdfc8c&sequence=1&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57568,0.021,25.482,219.699,219.756,225.127,1024,4659.0,1,1.1,
2026-07-29T10:15:50.652660+00:00,candidate,2,True,65536,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/65536?run=98897e28b4824857a6755767c6bdfc8c&sequence=2&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57570,0.032,17.902,154.691,276.602,283.621,65536,236932.0,1,1.1,
2026-07-29T10:15:51.278994+00:00,candidate,3,True,1048576,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/1048576?run=98897e28b4824857a6755767c6bdfc8c&sequence=3&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57572,0.018,0.902,140.406,469.729,475.179,1048576,2232299.0,1,1.1,
2026-07-29T10:15:52.219547+00:00,candidate,4,True,8388608,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/8388608?run=98897e28b4824857a6755767c6bdfc8c&sequence=4&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57574,0.018,11.822,154.886,784.766,789.536,8388608,10689311.0,1,1.1,
2026-07-29T10:15:52.518130+00:00,candidate,5,True,1024,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/1024?run=98897e28b4824857a6755767c6bdfc8c&sequence=5&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57576,0.018,1.171,143.084,143.133,148.143,1024,7154.0,1,1.1,
2026-07-29T10:15:52.939584+00:00,candidate,6,True,65536,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/65536?run=98897e28b4824857a6755767c6bdfc8c&sequence=6&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57578,0.018,1.207,139.989,265.38,270.979,65536,246951.0,1,1.1,
2026-07-29T10:15:53.597639+00:00,candidate,7,True,1048576,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/1048576?run=98897e28b4824857a6755767c6bdfc8c&sequence=7&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57580,0.017,1.258,144.194,501.957,507.474,1048576,2088975.0,1,1.1,
2026-07-29T10:15:54.712663+00:00,candidate,8,True,8388608,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/8388608?run=98897e28b4824857a6755767c6bdfc8c&sequence=8&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57582,0.019,0.952,204.281,959.304,964.45,8388608,8744473.0,1,1.1,
2026-07-29T10:15:55.014746+00:00,candidate,9,True,1024,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/1024?run=98897e28b4824857a6755767c6bdfc8c&sequence=9&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57584,0.028,1.373,144.36,144.423,151.229,1024,7090.0,1,1.1,
2026-07-29T10:15:55.449026+00:00,candidate,10,True,65536,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/65536?run=98897e28b4824857a6755767c6bdfc8c&sequence=10&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57586,0.021,1.014,143.196,278.046,283.107,65536,235702.0,1,1.1,
2026-07-29T10:15:56.073614+00:00,candidate,11,True,1048576,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/1048576?run=98897e28b4824857a6755767c6bdfc8c&sequence=11&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57588,0.019,0.886,141.657,470.014,474.92,1048576,2230946.0,1,1.1,
2026-07-29T10:15:57.026875+00:00,candidate,12,True,8388608,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/8388608?run=98897e28b4824857a6755767c6bdfc8c&sequence=12&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57590,0.018,23.164,162.118,797.625,802.907,8388608,10516982.0,1,1.1,
2026-07-29T10:15:57.712810+00:00,candidate,13,False,1048576,http://193.124.56.249:41020/a324c25ce2778dee91c7fab4be66f5f2/bytes/1048576?run=98897e28b4824857a6755767c6bdfc8c&sequence=13&build=candidate,0,True,200,193.124.56.249,192.168.0.136,57592,0.017,0.903,142.713,529.603,534.986,1048576,1979928.0,1,1.1,
